ID;Fichier
20250677;PrefixAwareTokenFilter.java
20250678;TestHungarianLightStemFilter.java
20250679;TestGermanLightStemFilter.java
20250680;TokenRangeSinkTokenizerTest.java
20250681;TestGermanMinimalStemFilter.java
20250682;TestStopFilter.java
20250683;TokenTypeSinkTokenizerTest.java
20250684;TokenOffsetPayloadTokenFilterTest.java
20250685;TestCompoundWordTokenFilter.java
20250686;TestTurkishLowerCaseFilter.java
20250687;TestIndicNormalizer.java
20250688;TestEnglishMinimalStemFilter.java
20250689;TestLatvianStemmer.java
20250690;TestFrenchMinimalStemFilter.java
20250691;ShingleAnalyzerWrapperTest.java
20250692;QueryAutoStopWordAnalyzerTest.java
20250693;TestCzechStemmer.java
20250694;TestKeywordMarkerFilter.java
20250695;NumericPayloadTokenFilterTest.java
20250696;DateRecognizerSinkTokenizerTest.java
20250697;ReusableAnalyzerBase.java
20250698;TestRussianLightStemFilter.java
20250699;TestSpanishLightStemFilter.java
20250700;TestFrenchLightStemFilter.java
20250701;NGramTokenFilterTest.java
20250702;TestTeeSinkTokenFilter.java
20250703;ShingleFilter.java
20250704;TestLengthFilter.java
20250705;SloppyPhraseScorer.java
20250706;TestMultiPhraseQuery.java
20250707;DirectoryReader.java
20250708;RAMDirectory.java
20250709;FileSwitchDirectory.java
20250710;Directory.java
20250711;BaseTokenStreamTestCase.java
20250712;TestIndexReaderCloneNorms.java
20250713;TestIndexReaderClone.java
20250714;MockTokenizer.java
20250715;SegmentCoreReaders.java
20250716;SegmentNorms.java
20250717;UnsortedTermFreqIteratorWrapper.java
20250718;BufferingTermFreqIteratorWrapper.java
20250719;LookupBenchmarkTest.java
20250720;TermFreq.java
20250721;TSTLookup.java
20250722;SortedTermFreqIteratorWrapper.java
20250723;TSTAutocomplete.java
20250724;FSTLookupTest.java
20250725;JaspellTernarySearchTrie.java
20250726;Average.java
20250727;FileDictionary.java
20250728;TermFreqArrayIterator.java
20250729;TernaryTreeNode.java
20250730;PersistenceTest.java
20250731;JaspellLookup.java
20250732;MultiPassIndexSplitter.java
20250733;IndexSorter.java
20250734;ExtractReuters.java
20250735;PersistentSnapshotDeletionPolicy.java
20250736;TestPersistentSnapshotDeletionPolicy.java
20250737;TestSegmentMerger.java
20250738;IndexFileNames.java
20250739;CompoundFileWriter.java
20250740;TestCompoundFile.java
20250741;SimpleFragListBuilderTest.java
20250742;SingleFragListBuilderTest.java
20250743;FieldFragList.java
20250744;BaseFragmentsBuilder.java
20250745;Constants.java
20250746;TestBufferedIndexInput.java
20250747;RAMOutputStream.java
20250748;UnicodeUtil.java
20250749;BytesRef.java
20250750;IntSequenceOutputs.java
20250751;BytesRefFSTEnum.java
20250752;Outputs.java
20250753;DataInput.java
20250754;ByteSequenceOutputs.java
20250755;IndexFormatTooOldException.java
20250756;CodecUtil.java
20250757;IndexInput.java
20250758;IntsRefFSTEnum.java
20250759;Util.java
20250760;IndexOutput.java
20250761;UpToTwoPositiveIntOutputs.java
20250762;DataOutput.java
20250763;FSTEnum.java
20250764;IntsRef.java
20250765;PositiveIntOutputs.java
20250766;IndexFormatTooNewException.java
20250767;NodeHash.java
20250768;PairOutputs.java
20250769;FreqProxTermsWriter.java
20250770;MockLockFactoryWrapper.java
20250771;FormatPostingsTermsWriter.java
20250772;TermsHash.java
20250773;FieldsWriter.java
20250774;NormsWriter.java
20250775;FormatPostingsPositionsWriter.java
20250776;MockDirectoryWrapper.java
20250777;TermsHashPerThread.java
20250778;DocInverter.java
20250779;FormatPostingsFieldsWriter.java
20250780;DocInverterPerField.java
20250781;TestCrash.java
20250782;DocumentsWriter.java
20250783;TermInfosWriter.java
20250784;TermsHashPerField.java
20250785;TestIndexWriterWithThreads.java
20250786;FormatPostingsDocsWriter.java
20250787;TestLockFactory.java
20250788;SegmentMergeInfo.java
20250789;DocFieldProcessor.java
20250790;SegmentMerger.java
20250791;MockIndexInputWrapper.java
20250792;IOUtils.java
20250793;ThrottledIndexOutput.java
20250794;TermVectorsTermsWriter.java
20250795;DocFieldProcessorPerThread.java
20250796;TermVectorsWriter.java
20250797;Version.java
20250798;Field.java
20250799;TestLengthNormModifier.java
20250800;TestFieldNormModifier.java
20250801;IndexReader.java
20250802;SegmentReader.java
20250803;RBBIRuleCompiler.java
20250804;KStemData8.java
20250805;TestKStemmer.java
20250806;KStemData2.java
20250807;KStemData4.java
20250808;KStemData5.java
20250809;KStemData3.java
20250810;KStemData6.java
20250811;KStemData7.java
20250812;OpenStringBuilder.java
20250813;KStemData1.java
20250814;TermFreqIterator.java
20250815;Lookup.java
20250816;SortedIterator.java
20250817;HighFrequencyDictionary.java
20250818;Builder.java
20250819;TermSecondPassGroupingCollector.java
20250820;TermFirstPassGroupingCollector.java
20250821;TermAllGroupsCollector.java
20250822;AbstractAllGroupsCollector.java
20250823;AbstractSecondPassGroupingCollector.java
20250824;NoOutputs.java
20250825;TermAllGroupsCollectorTest.java
20250826;TestSameTokenSamePosition.java
20250827;TestIndexReaderDelete.java
20250828;TestIndexWriterCommit.java
20250829;TestOmitTf.java
20250830;TestPrefixInBooleanQuery.java
20250831;Test2BTerms.java
20250832;TestBackwardsCompatibility.java
20250833;TestIndexWriterOnDiskFull.java
20250834;TestParallelReaderEmptyIndex.java
